% Model:              HydroFlux_CAD_211205_improved_injector.mph
% Version:            COMSOL 5.5.0.359
% Date:               Jan 14 2022, 15:59
% Dimension:          3
% Nodes:              251
% Expressions:        5
% Description:        Velocity field, x component, U+, k+, y+, Turbulent kinetic energy
% Length unit:        m
% x                       y                        z                        u (m/s)                  uplus (1)                k/u_tau_probe^2 (1)      yplus (1)                k (m^2/s^2)
0.185                     0.065                    0.06428025302494224      21.39022494309346        29.097570809797514       0.09408032801959505      957.0326554841365        0.05084123117252544
0.185                     0.065                    0.065                    21.429886883897694       29.151523778224703       0.09004539753876056      970.1400509659723        0.04866074522334328
0.185                     0.065                    0.04685743786389953      18.48713846743606        25.148441498762313       0.8021647368917426       325.13076253467995       0.4334917159118199
0.185                     0.065                    0.04710680764525996      18.61782284853493        25.326214198342395       0.7675772373209093       337.7742559655561        0.41480054956093193
0.185                     0.065                    0.04682280180404186      18.46898714203685        25.12374987081074        0.806968746017977        323.41359030091803       0.4360878137750303
0.185                     0.065                    0.0465908225364833       18.347416409435358       24.958374658082416       0.839144187538403        312.1477535256951        0.45347549826606803
0.185                     0.065                    0.046596309637616705     18.35029197203053        24.962286346082593       0.8383831285718296       312.4095988910108        0.45306422020539394
0.185                     0.065                    0.04657224013015092      18.337678139394672       24.9451274854684         0.84172156065691         311.2626324219301        0.4548683167786541
0.185                     0.065                    0.045610713072805245     18.09389453254738        24.613503541289298       0.9218006124998567       265.3961986547396        0.4981432252799928
0.185                     0.065                    0.046076806711776754     18.21206696208953        24.774255971220086       0.8829828419610825       286.7523281339758        0.4771660105199335
0.185                     0.065                    0.04613709188889432      18.227351542804005       24.795047906359653       0.8779620993965568       289.6309201205234        0.4744527893954533
0.185                     0.065                    0.04635467267584308      18.282516531264616       24.870089995081237       0.8598412748342215       300.25544029519307       0.46466025305971076
0.185                     0.065                    0.04608899365792209      18.215156815531582       24.77845916354561        0.8819678740673309       287.3320183205393        0.476617519476108
0.185                     0.065                    0.045444627321257765     18.051785490218442       24.556221729426223       0.9356327656430666       258.15104459108545       0.5056181534649927
0.185                     0.065                    0.045381526342710005     18.035786996958738       24.53445864410511        0.9408880171660097       255.44600197295242       0.5084581037837466
0.185                     0.065                    0.045336887206182695     18.024469281429013       24.51906291872553        0.9446057073764785       253.54789721385185       0.5104671523425368
0.185                     0.065                    0.04746000735349086      18.77321425039327        25.53759637552079        0.7285553334223315       355.4076168854064        0.3937130206517379
0.185                     0.065                    0.04756466073324997      18.819256857482145       25.600229097878803       0.7169931094667229       360.8182941064433        0.38746476755388337
0.185                     0.065                    0.047743015052635875     18.897724441319294       25.706970194947647       0.6972883222067539       370.24502447739104       0.3768162540401883
0.185                     0.065                    0.04787568175330673      18.923230690826365       25.74166688014375        0.6897307546695329       374.69823983781055       0.3727321267167611
0.185                     0.065                    0.048364967423021        19.017299830323008       25.869631100005968       0.6618578259303621       391.6386699207355        0.3576695302812091
0.185                     0.065                    0.04882446445273626      19.105641862109508       25.98980461534897        0.635681853982127        408.3292751590231        0.3435239732981533
0.185                     0.065                    0.04912450594405249      19.176064113104154       26.08560147771734        0.6140812364431678       420.29782546407966       0.3318509486299273
0.185                     0.065                    0.04944598798731094      19.251518641213924       26.188243851999747       0.5909370685095735       433.5723431066054        0.31934378568761124
0.185                     0.065                    0.049765272506646564     19.326457392053754       26.29018460366369        0.5679511049415868       447.24261426511885       0.306922116757632
0.185                     0.065                    0.049958647595911274     19.37184414510771        26.351925154047226       0.5540296258606597       455.76922099121145       0.2993989166251933
0.185                     0.065                    0.050485911491138805     19.495597397390384       26.520269293990484       0.5160707899245057       480.0248141000738        0.27888587215039073
0.185                     0.065                    0.05203875817837667      19.93555660278962        27.11875501195672        0.3893672148452926       565.8180238294746        0.21041496131719276
0.185                     0.065                    0.05206217272779772      19.94219051368548        27.127779259834035       0.38745671901534495      567.2545075159848        0.20938252486433215
0.185                     0.065                    0.05116004442831925      19.686595641977505       26.780088204787642       0.4610653254949519       515.1134515926235        0.24916078942924408
0.185                     0.065                    0.052370662292633784     20.029593104639673       27.246674834144983       0.36228570177288594      586.630146128419         0.19578004777470145
0.185                     0.065                    0.05284881917324419      20.165066569585353       27.43096222474479        0.3232707837388157       618.4138719002747        0.17469629404316514
0.185                     0.065                    0.05562989558428397      20.572029874330042       27.984562928257784       0.22904923570679891      720.0466091741913        0.12377874724282616
0.185                     0.065                    0.056263066719801386     20.680588950949616       28.132238112945558       0.20555679013072742      745.1369863415865        0.11108337424102012
0.185                     0.065                    0.05471885575665002      20.415829383019304       27.77208012975842        0.26285139813613057      685.9698527942224        0.142045515550043
0.185                     0.065                    0.05531549157997361      20.51812437156966        27.91123414430246        0.2407145163013164       708.0261056878053        0.13008269239143058
0.185                     0.065                    0.05317481353378192      20.208780828299563       27.4904276460631         0.31273816681120564      629.5230599157834        0.16900444301181303
0.185                     0.065                    0.053962471881379884     20.314401982998405       27.6341063140546         0.28728955588616084      657.4947740169663        0.15525195364134253
0.185                     0.065                    0.057414015449523445     20.870988931412022       28.391243192528776       0.1677024657368575       792.1174344532209        0.09062680805018304
0.185                     0.065                    0.05755611947043926      20.89449701835568        28.423221735356904       0.16302871132320992      798.2097545559482        0.08810110014089115
0.185                     0.065                    0.05793935580512333      20.957895316431          28.509463767517623       0.15042419458148534      814.9808376162232        0.0812895895629251
0.185                     0.065                    0.05649888123174705      20.719599444907974       28.185304904589792       0.19780092855196785      754.4335173828013        0.10689208834982196
0.185                     0.065                    0.05690161409387756      20.786223028653303       28.275934360371096       0.18455517744814456      770.6951000601805        0.09973405321007466
0.185                     0.065                    0.05713389321850561      20.82464866799667        28.328205562038207       0.1769155935930779       780.3020430673316        0.0956056040750287
0.185                     0.065                    0.05817812955581009      20.99739535348015        28.5631964948772         0.14257100461582947      825.6891120419721        0.07704570718187613
0.185                     0.065                    0.058435144667718764     21.039913035651598       28.621034188073203       0.13411786229152514      837.4456473949814        0.07247760913108381
0.185                     0.065                    0.05708939126500234      20.81728676658547        28.318191013421867       0.1783792481769622       778.4482595616169        0.09639656646453577
0.185                     0.065                    0.06171774142788481      21.24942536892139        28.906038201311134       0.10847883283437731      905.4218783731661        0.05862221713671762
0.185                     0.065                    0.06274382732965744      21.305804609584904       28.982732062725567       0.10271335539653126      925.5748278487506        0.05550653953006154
0.185                     0.065                    0.061007082439508774     21.210377552294997       28.85292063886019        0.11247195695430352      891.8451667621517        0.06078011082985474
0.185                     0.065                    0.061227039750758216     21.222463310578203       28.869361148876855       0.11123603809691827      896.0147921391091        0.0601122173641164
0.185                     0.065                    0.06314232046833307      21.327700184340724       29.012517071465478       0.10047426099302986      933.5828313161315        0.05429652763297491
0.185                     0.065                    0.06375511989524453      21.361371016683922       29.058320209624966       0.09703100028388321      946.1020790796239        0.05243578142400615
0.185                     0.065                    0.06043941860580145      21.179186736943894       28.810491119735985       0.11566160513080286      881.2162896718751        0.06250380422797566
0.185                     0.065                    0.06279785689849002      21.308773314309235       28.98677045391404        0.10240976847506338      926.6545409766641        0.05534248044161864
0.185                     0.065                    0.06022880350383571      21.16761429500644        28.794748884691092       0.11684503101781225      877.3204181753556        0.06314333036870579
0.185                     0.065                    0.059811535432268276     21.144687114165677       28.76356056059642        0.1191896199532995       869.6767417823223        0.06441035175971141
0.185                     0.065                    0.06377849403219257      21.36265533029745        29.060067288321477       0.0968996632691457       946.5845963449848        0.052364806591452547
0.185                     0.065                    0.05871429622223642      21.084719706773345       28.681985640859928       0.12555714966125653      850.3859720185169        0.06785137983321833
0.185                     0.065                    0.040015019435202095     0.783340914511848        1.0655950458145889       2.684671189897409E-9     1.237704338098517        1.4508026434534174E-9
0.185                     0.065                    0.04001537660896448      0.7939666353563897       1.0800494363365092       2.6805050867778963E-9    1.2545741773814174       1.4485512715008917E-9
