#*************************************************************************
#*************************************************************************
#   STATISTICS FROM DNS OF TURBULENT CHANNEL FLOW AT RETAU = 999

# References:

# M. Bernardini, S. Pirozzoli, P. Orlandi, "Velocity statistics in turbulent
# channel flow up to Retau=4000" Journal of Fluid Mechanics Volume 742, March 2014, Pages 171-191

#*************************************************************************
#*************************************************************************
#*
#* Date of file: January 07, 2014
#*
# ***********************************
# Wall-normal profiles:
# ***********************************

#        y                y+              U+              u'+             v'+             w'+            u'v'+           omx+'           omz'+          omy'+ 
0.1668930E-04   0.1666828E-01   0.1666122E-01   0.7060292E-02   0.6382515E-05   0.4463534E-02  -0.1016802E-07   0.2738394E+00   0.4246851E+00   0.5833554E-03
0.8368492E-04   0.8357953E-01   0.8341742E-01   0.3552921E-01   0.1177552E-03   0.2314964E-01  -0.8990589E-06   0.2768288E+00   0.4255324E+00   0.2920975E-02
0.2175570E-03   0.2172830E+00   0.2167972E+00   0.9238414E-01   0.6779256E-03   0.5975894E-01  -0.1348437E-04   0.2684453E+00   0.4244834E+00   0.7592850E-02
0.4183054E-03   0.4177786E+00   0.4167672E+00   0.1773410E+00   0.2312331E-02   0.1124454E+00  -0.9214708E-04   0.2555724E+00   0.4229509E+00   0.1460181E-01
0.6859899E-03   0.6851259E+00   0.6833062E+00   0.2900991E+00   0.5833338E-02   0.1786844E+00  -0.4070316E-03   0.2396536E+00   0.4213567E+00   0.2394985E-01
0.1020551E-02   0.1019265E+01   0.1016143E+01   0.4302872E+00   0.1211987E-01   0.2556626E+00  -0.1360335E-02   0.2217477E+00   0.4195154E+00   0.3560805E-01
0.1421988E-02   0.1420197E+01   0.1414716E+01   0.5971518E+00   0.2199487E-01   0.3402648E+00  -0.3730251E-02   0.2025351E+00   0.4165166E+00   0.4946851E-01
0.1890242E-02   0.1887861E+01   0.1877818E+01   0.7889972E+00   0.3610550E-01   0.4292572E+00  -0.8788376E-02   0.1832051E+00   0.4110836E+00   0.6527073E-01
0.2425313E-02   0.2422258E+01   0.2403044E+01   0.1002496E+01   0.5483527E-01   0.5195682E+00  -0.1829716E-01   0.1654687E+00   0.4019702E+00   0.8254751E-01
0.3027201E-02   0.3023388E+01   0.2986040E+01   0.1232125E+01   0.7826576E-01   0.6085039E+00  -0.3430426E-01   0.1512509E+00   0.3885151E+00   0.1006351E+00
0.3695726E-02   0.3691072E+01   0.3620179E+01   0.1470272E+01   0.1061979E+00   0.6939813E+00  -0.5874283E-01   0.1421540E+00   0.3710776E+00   0.1187615E+00
0.4431009E-02   0.4425429E+01   0.4296026E+01   0.1707768E+01   0.1382170E+00   0.7745841E+00  -0.9293902E-01   0.1387284E+00   0.3511103E+00   0.1361443E+00
0.5232871E-02   0.5226280E+01   0.5001541E+01   0.1935034E+01   0.1737735E+00   0.8495507E+00  -0.1371941E+00   0.1401676E+00   0.3307831E+00   0.1520883E+00
0.6101370E-02   0.6093686E+01   0.5722987E+01   0.2143442E+01   0.2122647E+00   0.9186800E+00  -0.1905988E+00   0.1447844E+00   0.3122576E+00   0.1660616E+00
0.7036328E-02   0.7027467E+01   0.6445693E+01   0.2326303E+01   0.2530913E+00   0.9821134E+00  -0.2511332E+00   0.1508195E+00   0.2969275E+00   0.1777278E+00
0.8037806E-02   0.8027682E+01   0.7155768E+01   0.2479591E+01   0.2956879E+00   0.1040196E+01  -0.3160319E+00   0.1569452E+00   0.2850266E+00   0.1869569E+00
0.9105682E-02   0.9094214E+01   0.7840955E+01   0.2601910E+01   0.3395368E+00   0.1093300E+01  -0.3822780E+00   0.1623677E+00   0.2758298E+00   0.1937921E+00
0.1023984E-01   0.1022694E+02   0.8491711E+01   0.2694149E+01   0.3841598E+00   0.1141752E+01  -0.4470843E+00   0.1667177E+00   0.2682047E+00   0.1984087E+00
0.1144028E-01   0.1142587E+02   0.9101452E+01   0.2758802E+01   0.4291055E+00   0.1185794E+01  -0.5082247E+00   0.1699053E+00   0.2611485E+00   0.2010606E+00
0.1270688E-01   0.1269087E+02   0.9666569E+01   0.2799293E+01   0.4739454E+00   0.1225611E+01  -0.5641949E+00   0.1719950E+00   0.2540301E+00   0.2020346E+00
0.1403952E-01   0.1402183E+02   0.1018599E+02   0.2819387E+01   0.5182698E+00   0.1261353E+01  -0.6142023E+00   0.1731123E+00   0.2465819E+00   0.2016144E+00
0.1543820E-01   0.1541876E+02   0.1066055E+02   0.2822785E+01   0.5616917E+00   0.1293174E+01  -0.6580347E+00   0.1734025E+00   0.2387886E+00   0.2000591E+00
0.1690274E-01   0.1688146E+02   0.1109251E+02   0.2812882E+01   0.6038624E+00   0.1321258E+01  -0.6959034E+00   0.1730061E+00   0.2307436E+00   0.1975933E+00
0.1843309E-01   0.1840988E+02   0.1148494E+02   0.2792660E+01   0.6444789E+00   0.1345822E+01  -0.7282757E+00   0.1720438E+00   0.2225778E+00   0.1944069E+00
0.2002919E-01   0.2000396E+02   0.1184131E+02   0.2764655E+01   0.6832914E+00   0.1367113E+01  -0.7557363E+00   0.1706165E+00   0.2144137E+00   0.1906576E+00
0.2169085E-01   0.2166353E+02   0.1216519E+02   0.2730979E+01   0.7201088E+00   0.1385396E+01  -0.7789008E+00   0.1688054E+00   0.2063418E+00   0.1864773E+00
0.2341795E-01   0.2338846E+02   0.1246007E+02   0.2693376E+01   0.7547979E+00   0.1400944E+01  -0.7983624E+00   0.1666823E+00   0.1984286E+00   0.1819779E+00
0.2521050E-01   0.2517875E+02   0.1272922E+02   0.2653266E+01   0.7872768E+00   0.1414025E+01  -0.8146632E+00   0.1643059E+00   0.1907318E+00   0.1772544E+00
